"","Date1","City","State","Region","Race2","ST","timeSeas","Male"
"89",1993-04-03,"Sacramento","CA","West","Unknown","High","Spring",NA
"90",1993-04-14,"Irving","TX","South","Unknown","High","Spring","1"
"91",1993-04-15,"Acushnet","MA","Northeast","Caucasian","Middle","Spring","1"
"92",1993-04-16,"Sacramento","CA","West","Unknown","High","Spring",NA
"93",1993-04-16,"Tacoma","WA","West","Unknown","High","Spring","0"
"94",1993-04-26,"Raleigh","NC","South","Unknown","High","Spring","1"
"95",1993-05-24,"Pennsburg","PA","Northeast","Unknown","High","Spring","1"
"96",1993-05-25,"Fort Lauderdale","FL","South","Unknown","High","Spring","1"
"97",1993-05-27,"New Orleans","LA","South","Unknown","High","Spring","1"
"98",1993-06-24,"New Haven ","CT","Northeast","Caucasian","College","Summer","1"
"99",1993-07-04,"Wichita","KS","Midwest","Unknown","College","Summer",NA
"100",1993-07-08,"Ogden","UT","West","Asian","College","Summer","1"
"101",1993-08-03,"New York City","NY","Northeast","African American","High","Summer","1"
"102",1993-08-31,"Atlanta","GA","South","Unknown","High","Summer","1"
"103",1993-09-01,"Junction City","KS","Midwest","Unknown","High","Summer","1"
"104",1993-09-02,"Dallas ","TX","South","Unknown","High","Summer","1"
"105",1993-09-07,"Los Angeles","CA","West","Unknown","High","Summer","1"
"106",1993-09-17,"Sheridan","WY","West","Caucasian","Middle","Summer","1"
"107",1993-09-25,"Washington D.C.","Wash D.C","South","Unknown","Elementary","Autumn","1"
"108",1993-10-12,"New Castle","DE","South","Caucasian","High","Autumn","0"
"109",1993-10-14,"Detroit","MI","Midwest","Unknown","High","Autumn",NA
"110",1993-10-18,"Washington D.C.","Wash D.C","South","Unknown","Middle","Autumn","1"
"111",1993-11-01,"Chicago","IL","Midwest","Unknown","High","Autumn","1"
"112",1993-11-04,"Jacksonville","FL","South","African American","High","Autumn","1"
"113",1993-11-04,"New Britian","CT","Northeast","Unknown","High","Autumn",NA
"114",1993-11-05,"Bay Springs","MS","South","Unknown","High","Autumn",NA
"115",1993-11-11,"Springfield","IL","Midwest","Caucasian","Elementary","Autumn","1"
"116",1993-11-24,"Fort Lauderdale","FL","South","Unknown","High","Autumn","1"
"117",1993-11-29,"Kansas City","MO","Midwest","Unknown","High","Autumn",NA
"118",1993-12-01,"Wauwatosa","WI","Midwest","Unknown","High","Autumn","1"
"119",1993-12-08,"Savannah","GA","South","African American","High","Autumn","1"
"120",1993-12-11,"New Haven ","CT","Northeast","Unknown","High","Autumn","1"
"121",1993-12-15,"San Fernando Valley","CA","West","Unknown","High","Autumn","1"
"122",1993-12-17,"Chelsea","MI","Midwest","Caucasian","High","Autumn","1"
"123",1994-01-20,"Hacienda Heights (suburb of Los Angeles)","CA","West","Unknown","High","Winter",NA
"124",1994-01-21,"Kennard","TX","South","Unknown","High","Winter","1"
"125",1994-01-25,"Denmark","SC","South","Unknown","College","Winter","1"
"126",1994-01-25,"Columbia","SC","South","African American","High","Winter","1"
"127",1994-01-26,"Washington D.C.","Wash D.C","South","Unknown","High","Winter","1"
"128",1994-01-26,"Washington D.C.","Wash D.C","South","Unknown","Middle","Winter",NA
"129",1994-01-27,"San Jose","CA","West","Unknown","Elementary","Winter",NA
"130",1994-01-31,"Seattle","WA","West","Caucasian","Middle","Winter","1"
"131",1994-02-04,"Orangeburg","SC","South","Unknown","College","Winter","1"
"132",1994-02-07,"Fort Myers","FL","South","Unknown","Other","Winter","1"
"133",1994-02-08,"Detroit","MI","Midwest","Unknown","High","Winter",NA
"134",1994-02-14,"Belmont","CA","West","Unknown","High","Winter","1"
"135",1994-02-18,"Spartanburg","SC","South","Unknown","High","Winter","1"
"136",1994-03-01,"Boonville ","MO","Midwest","African American","College","Winter","1"
"137",1994-03-03,"Ensley","AL","South","Unknown","High","Winter","1"
"138",1994-03-09,"Washington D.C.","Wash D.C","South","Unknown","High","Winter","1"
"139",1994-03-15,"Goose Creek","SC","South","Unknown","High","Winter",NA
"140",1994-03-23,"Seattle","WA","West","Unknown","High","Spring","1"
"141",1994-03-25,"Woodstock","GA","South","Caucasian","High","Spring","1"
"142",1994-04-05,"Austin","TX","South","Unknown","High","Spring",NA
"143",1994-04-08,"Upper Marlboro","MD","South","Unknown","High","Spring","1"
"144",1994-04-12,"Butte","MT","West","Unknown","Elementary","Spring","1"
"145",1994-04-13,"Los Angeles","CA","West","Latino/Hispanic","Elementary","Spring","1"
"146",1994-04-18,"Fort Washington","MD","South","Unknown","Mixed","Spring","1"
"147",1994-04-19,"Norristown","PA","Northeast","Caucasian","Middle","Spring","1"
"148",1994-04-19,"Washington D.C.","Wash D.C","South","Unknown","Middle","Spring",NA
"149",1994-04-21,"Nashville","TN","South","Unknown","Middle","Spring","1"
"150",1994-05-02,"North Miami ","FL","South","Unknown","High","Spring","1"
"151",1994-05-25,"Wanaque","NJ","Northeast","Unknown","High","Spring","0"
"152",1994-07-24,"Manchester","PA","Northeast","African American","Elementary","Summer","1"
"153",1994-07-25,"Ottumwa","IA","Midwest","Unknown","High","Summer","1"
"154",1994-09-08,"Los Angeles","CA","West","Unknown","High","Summer",NA
"155",1994-09-14,"New York City","NY","Northeast","Unknown","High","Summer","1"
"156",1994-10-12,"Greensboro","NC","South","Unknown","High","Autumn","1"
"157",1994-11-05,"San Leandro","CA","West","Unknown","Elementary","Autumn",NA
"158",1994-11-07,"Wickliffe","OH","Midwest","Caucasian","Middle","Autumn","1"
"159",1994-11-08,"Manchester","IA","Midwest","Unknown","High","Autumn","1"
"160",1994-11-09,"New Haven ","CT","Northeast","Unknown","High","Autumn","1"
"161",1994-11-15,"Tacoma","WA","West","Unknown","High","Autumn","1"
"162",1994-12-14,"Albany","NY","Northeast","Caucasian","College","Winter","1"
"163",1995-01-05,"Washington D.C.","Wash D.C","South","Unknown","High","Winter","1"
"164",1995-01-10,"      Palm Beach Gardens","FL","South","African American","High","Winter","1"
"165",1995-01-11,"Fairfax","VA","South","Unknown","Middle",NA,NA
"166",1995-01-12,"Seattle","WA","West","Unknown","High","Winter",NA
"167",1995-01-23,"Redlands","CA","West","Unknown","Middle","Winter","1"
"168",1995-01-26,"Chapel Hill ","NC","South","Caucasian","College","Winter","1"
"169",1995-02-02,"Long Beach","CA","West","Unknown","High","Winter","1"
"170",1995-06-14,"Lake Worth","FL","South","Caucasian","High","Spring","1"
"171",1995-08-29,"Laredo","TX","South","Unknown","Middle","Summer","1"
"172",1995-09-12,"Memphis","TN","South","Unknown","Middle","Summer","1"
"173",1995-09-14,"Olathe","KS","Midwest","African American","High","Summer","1"
"174",1995-09-29,"Tavares","FL","South","Caucasian","Middle","Autumn","1"
"175",1995-10-12,"Blackville","SC","South","African American","High","Autumn","1"
"176",1995-10-30,"Richmond","VA","South","African American","High","Autumn","1"
"177",1995-11-02,"Miami Beach","FL","South","Asian","Elementary","Autumn","1"
"178",1995-11-15,"Lynnville","TN","South","Caucasian","High","Autumn","1"
"179",1995-11-28,"New York City","NY","Northeast","Unknown","Other","Autumn",NA
"180",1995-12-14,"Washington D.C.","Wash D.C","South","Unknown","High","Autumn",NA
"181",1996-01-02,"Girald","PA","Northeast","Unknown","High","Winter","1"
"182",1996-01-16,"Philadelphia","PA","Northeast","African American","High","Winter","1"
"183",1996-01-17,"Compton","CA","West","African American","Middle","Winter","1"
"184",1996-01-19,"Washington D.C.","Wash D.C","South","Unknown","High","Winter","1"
"185",1996-01-26,"Memphis","TN","South","Unknown","High","Winter","0"
"186",1996-02-02,"Moses Lake","WA","West","Caucasian","Middle","Winter","1"
"187",1996-02-08,"Menlo Park","CA","West","Unknown","High","Winter","1"
"188",1996-02-22,"Savannah","GA","South","Unknown","High","Winter","1"
"189",1996-02-29,"St.Louis ","MO","Midwest","Unknown","High","Winter","1"
"190",1996-03-11,"New London","NC","South","Unknown","High","Winter","1"
"191",1996-04-11,"Talladega","AL","South","Unknown","High","Spring","1"
"192",1996-04-15,"Washington D.C.","Wash D.C","South","Unknown","High","Spring",NA
"193",1996-04-22,"Garden City","GA","South","Unknown","High","Spring","1"
"194",1996-05-14,"South Jordan","UT","West","Caucasian","Middle","Spring","1"
"195",1996-06-04,"Hemet","CA","West","Unknown","High","Spring","1"
"196",1996-07-26,"Los Angeles","CA","West","Latino/Hispanic","High","Summer","1"
"197",1996-08-15,"San Diego","CA","West","Caucasian","College","Summer","1"
"198",1996-08-26,"San Antonio","TX","South","Unknown","College","Summer","1"
"199",1996-09-17,"State College","PA","Northeast","Caucasian","College","Summer","0"
"200",1996-09-25,"Stone Mountain","GA","South","Unknown","High","Autumn","1"
"201",1996-10-02,"Philadelphia","PA","Northeast","African American","Elementary","Autumn","1"
"202",1996-10-04,"Playa Del Rey","CA","West","Unknown","High","Autumn","1"
"203",1996-10-09,"Sherwood","AR","South","Unknown","High","Autumn","1"
"204",1996-10-11,"St. Louis","MO","Midwest","Unknown","High","Autumn","1"
"205",1996-10-16,"West Lafayette","IN","Midwest","Unknown","College","Autumn","1"
"206",1996-11-27,"North Highlands","CA","West","Unknown","High","Autumn","1"
"207",1997-01-27,"West Palm Beach","FL","South","African American","Middle","Winter","1"
"208",1997-01-31,"Tulsa ","OK","South","African American","Preschool","Winter","1"
"209",1997-02-10,"Columbus","OH","Midwest","Caucasian","College","Winter",NA
"210",1997-02-19,"Bethel ","AK","West","Mixed","High","Winter","1"
"211",1997-02-20,"North Las Vegas","NV","West","Unknown","High","Winter",NA
"212",1997-03-17,"Detroit","MI","Midwest","Unknown","High","Winter","1"
"213",1997-04-30,"New York City","NY ","Northeast","Unknown","High","Spring","1"
"214",1997-09-11,"Le Sueur","MN","Midwest","Unknown","High","Summer","1"
"215",1997-10-01,"Pearl","MS","South","Caucasian","High","Autumn","1"
"216",1997-10-10,"Gary","IN","Midwest","African American","High","Autumn","1"
"217",1997-10-14,"Garland ","TX","South","Unknown","High","Autumn","1"
"218",1997-10-15,"Palmetto ","FL","South","African American","Middle","Autumn","1"
"219",1997-10-22,"Norwalk","CA","West","Asian","High","Autumn","1"
"220",1997-11-07,"Jacksonville","FL","South","African American","High","Autumn","1"
"221",1997-11-13,"Sacramento","CA","West","Unknown","Elementary","Autumn","1"
"222",1997-12-01,"West Paducah","KY","South","Caucasian","High","Autumn","1"
"223",1997-12-15,"Stamps","AR","South","Caucasian","High","Autumn","1"
"224",1998-01-13,"McAllen","TX","South","Unknown","College","Winter","1"
"225",1998-01-13,"Washington D.C.","Wash D.C","South","Unknown","High","Winter","1"
"226",1998-02-12,"Hoboken","NJ","Northeast","Latino/Hispanic","High","Winter","1"
"227",1998-02-25,"Reed City","MI","Midwest","Unknown","Middle","Winter","1"
"228",1998-02-27,"Fairfax","VA","South","Asian","High","Winter",NA
"229",1998-03-24,"Jonesboro","AR","South","Caucasian","Middle","Spring","1"
"230",1998-03-25,"Coldwater","MI","Midwest","Unknown","High","Spring","1"
"231",1998-03-25,"Daly City","CA","West","Unknown","Middle","Spring","1"
"232",1998-03-30,"Chapel Hill ","NC","South","Unknown","Middle","Spring","0"
"233",1998-03-31,"Oakfield","WI","Midwest","Unknown","Middle","Spring","1"
"234",1998-04-13,"Pardeeville","WI","Midwest","Unknown","Elementary","Spring","1"
"235",1998-04-14,"Durham","NC","South","Unknown","Unknown","Spring","1"
"236",1998-04-22,"Culver City","CA","West","Unknown","High","Spring",NA
"237",1998-04-24,"Edinboro","PA","Northeast","Caucasian","Middle","Spring","1"
"238",1998-04-28,"Pomona ","CA","West","Unknown","Elementary","Spring","1"
"239",1998-05-01,"Buffalo","NY","Northeast","Unknown","Elementary","Spring","1"
"240",1998-05-19,"Fayetteville","TN","South","Caucasian","High","Spring","1"
"241",1998-05-21,"Springfield","OR","West","Caucasian","High","Spring","1"
"242",1998-05-21,"Houston","TX","South","Unknown","High","Spring","1"
"243",1998-05-21,"Onalaska","WA","West","Unknown","High","Spring","1"
"244",1998-05-21,"Rialto","CA","West","Unknown","High","Spring","1"
"245",1998-05-27,"Pasadena ","CA","West","Unknown","Middle","Spring",NA
"246",1998-05-29,"Fort Lauderdale","FL","South","Unknown","High","Spring","1"
"247",1998-06-15,"Richmond ","VA","South","African American","High","Spring","1"
"248",1998-09-11,"Glendale","CA","West","African American","High","Autumn","1"
"249",1998-09-29,"Miami","FL","South","Unknown","High","Autumn","1"
"250",1999-01-08,"Carrollton","GA","South","Caucasian","High","Winter","1"
"251",1999-01-14,"New York City","NY","Northeast","Unknown","High","Winter","1"
"252",1999-01-21,"North Richland Hills","TX","South","Unknown","High","Winter","1"
"253",1999-02-11,"Elgin","IL","Midwest","Unknown","High","Winter","1"
"254",1999-02-26,"Chicago","IL","Midwest","Unknown","High","Winter","1"
"255",1999-04-16,"Notus","ID","West","Caucasian","High","Spring","1"
"256",1999-04-20,"Littleton","CO","West","Caucasian","High","Spring","1"
"257",1999-04-22,"Scotlandville","LA","South","Unknown","Middle","Spring","1"
"258",1999-04-22,"Atlanta","GA","South","Unknown","Middle","Spring","1"
"259",1999-05-20,"Conyers","GA","South","Caucasian","High","Spring","1"
"260",1999-08-25,"Monticello","GA","South","Unknown","High","Summer","0"
"261",1999-09-07,"Plano","TX","South","Unknown","High","Summer","1"
"262",1999-09-09,"San Jose","CA","West","Unknown","High","Summer","1"
"263",1999-09-27,"Tampa","FL","South","Unknown","Elementary","Autumn",NA
"264",1999-10-04,"Philadelphia","PA","Northeast","Unknown","High","Autumn","1"
"265",1999-10-11,"Las Vegas ","NV","West","Unknown","High","Autumn","1"
"266",1999-10-21,"Pacoima","CA","West","Unknown","High","Autumn","1"
"267",1999-10-26,"Hamlin","WV","South","Unknown","High","Autumn","1"
"268",1999-10-26,"Philadelphia","PA","Northeast","Unknown","High","Autumn","1"
"269",1999-11-03,"Boston","MA","Northeast","Unknown","High","Autumn",NA
"270",1999-11-17,"Dickinson","TX","South","Unknown","High","Autumn","1"
"271",1999-11-18,"Denver","CO","West","Unknown","High","Autumn","1"
"272",1999-11-19,"Deming","NM","West","Latino/Hispanic","Middle","Autumn","1"
"273",1999-12-06,"Fort Gibson","OK","South","Native American","Middle","Autumn","1"
"274",2000-01-10,"Anchorage","AK","West","Unknown","High","Winter","1"
"275",2000-01-13,"Alberquerque","NM","West","Unknown","High","Winter","1"
"276",2000-01-19,"Elgin","IL","Midwest","African American","Middle","Winter","1"
"277",2000-01-19,"New Port Richey","FL","South","Caucasian","High","Winter","1"
"278",2000-01-20,"Asheville","NC","South","Unknown","High","Winter","1"
"279",2000-01-26,"Merced","CA","West","Unknown","Elementary","Winter","1"
"280",2000-01-26,"Omaha","NE","Midwest","Unknown","High","Winter","1"
"281",2000-02-10,"Yeadon","PA","Northeast","Unknown","Middle","Winter","1"
"282",2000-02-14,"Chicago","IL","Midwest","Unknown","Elementary","Winter","1"
"283",2000-02-24,"Tecumseh","OK","South","Unknown","High","Winter","1"
"284",2000-02-29,"Mount Morris Twp.(suburb of Detroit)","MI","Midwest","African American","Elementary","Winter","1"
"285",2000-03-27,"Chicago","IL","Midwest","Unknown","Elementary",NA,NA
"286",2000-04-04,"Lancaster","SC","South","Unknown","Elementary","Spring",NA
"287",2000-04-06,"Hugo","OK","South","African American","High","Spring","0"
"288",2000-04-10,"Tucson ","AZ","West","Unknown","Middle","Spring","0"
"289",2000-04-18,"Prairie View","TX","South","Unknown","College","Spring","1"
"290",2000-05-04,"Denver","CO","West","Unknown","High","Spring","1"
"291",2000-05-04,"Canoga Park","CA","West","Unknown","High","Spring",NA
"292",2000-05-10,"Sierra Vista","AZ","West","Unknown","Elementary","Spring","1"
"293",2000-05-26,"Lake Worth","FL","South","African American","Middle","Spring","1"
"295",2000-06-28,"Seattle","WA","West","Asian","College","Summer","1"
"296",2000-07-17,"Renton","WA","West","Caucasian","Middle","Summer","1"
"297",2000-07-26,"Canton ","OH","Midwest","African American","High","Summer","1"
"298",2000-08-28,"Fayetteville","AR","South","African American","College","Summer","1"
"299",2000-09-05,"Bidwell","OH","Midwest","Caucasian","Elementary","Summer","1"
"300",2000-09-07,"Lowell","IN","Midwest","Unknown","Elementary","Summer","1"
"301",2000-09-13,"Prichard","AL","South","Unknown","High","Summer","1"
"302",2000-09-18,"Mount Healthy","OH","Midwest","Unknown","Middle","Summer","1"
"303",2000-09-26,"New Orleans","LA","South","Unknown","Middle","Autumn","1"
"304",2000-10-05,"Minneapolis","MN","Midwest","Unknown","High","Autumn",NA
"305",2000-10-23,"Los Angeles","CA","West","Unknown","High","Autumn",NA
"306",2000-10-24,"New York City","NY","Northeast","Unknown","High","Autumn","1"
"307",2000-10-27,"Memphis","TN","South","Unknown","High","Autumn",NA
"308",2000-12-01,"Los Angeles","CA","West","Unknown","High","Winter","1"
"309",2000-12-01,"San Diego ","CA","West","Unknown","High","Winter","1"
"310",2000-12-07,"Richmond","CA","West","Unknown","High","Winter",NA
"311",2000-12-08,"Hurlock","MD","South","Caucasian","High","Winter","1"
"312",2000-12-19,"Miami ","FL","South","Unknown","Elementary","Winter","1"
"313",2001-01-03,"San Francisco","CA","West","Unknown","High","Winter",NA
"314",2001-01-10,"Oxnard","CA","West","Unknown","High","Winter","1"
"315",2001-01-17,"Baltimore","MD","South","Unknown","High","Winter","1"
"316",2001-01-29,"Arlington","TX","South","Unknown","Middle","Winter","1"
"317",2001-02-02,"Detroit","MI","Midwest","Unknown","High","Winter",NA
"318",2001-02-07,"Dallas ","TX","South","Unknown","Middle","Winter","1"
"319",2001-03-02,"San Diego","CA","West","Unknown","High","Winter","1"
"320",2001-03-05,"Santee","CA","West","Caucasian","High","Winter","1"
"321",2001-03-06,"Largo","MD","South","Unknown","High","Winter","1"
"322",2001-03-07,"Williamsport","PA","Northeast","Caucasian","High","Winter","0"
"323",2001-03-22,"El Cajon","CA","West","Mixed","High","Spring","1"
"324",2001-03-30,"Gary ","IN","Midwest","African American","High","Spring","1"
"325",2001-04-03,"Houston","TX","South","Unknown","Middle","Spring","0"
"326",2001-04-20,"Monroe","LA","South","Unknown","Mixed","Spring","1"
"327",2001-04-25,"Cleveland","OH","Midwest","Unknown","High","Spring",NA
"328",2001-05-15,"Ennis","TX","South","Unknown","High","Spring","1"
"329",2001-05-17,"Parkland","WA","West","Caucasian","College","Spring","1"
"330",2001-06-07,"Arlington ","TX","South","Caucasian","Middle","Spring","1"
"331",2001-07-30,"Los Angeles","CA","West","Unknown","High","Summer","1"
"332",2001-09-04,"Plant City","FL","South","Unknown","Elementary","Summer","1"
"333",2001-09-13,"Covington","KY","South","Caucasian","Elementary","Summer","0"
"334",2001-09-20,"Baltimore","MD","South","Unknown","High","Summer","1"
"335",2001-10-12,"Taylorsville","UT","West","Unknown","High","Autumn","1"
"336",2001-10-26,"Redondo Beach","CA","West","Unknown","High","Autumn","1"
"337",2001-10-26,"Saginaw","MS","South","Unknown","High","Autumn","1"
"338",2001-11-12,"Caro","MI","Midwest","Unknown","High","Autumn","1"
"339",2001-11-30,"Friendswood","TX","South","Unknown","Middle","Autumn",NA
"340",2002-01-15,"New York City","NY","Northeast","Latino/Hispanic","High","Winter","1"
"341",2002-01-16,"Grundy","VA","South","African American","College","Winter","1"
"342",2002-01-18,"Davie","FL","South","Unknown","College","Winter","1"
"343",2002-01-25,"Salisbury","NC","South","Unknown","College","Winter","1"
"344",2002-02-01,"Brock ","TX","South","Unknown","High","Winter",NA
"345",2002-02-06,"Los Angeles","TX","South","Unknown","High","Winter","1"
"346",2002-02-07,"Chicago","IL","Midwest","Unknown","High","Winter","1"
"347",2002-02-25,"Farmingdale","NY","Northeast","Unknown","College","Winter","1"
"348",2002-04-26,"New Orleans","LA","South","Unknown","High","Spring","1"
"349",2002-06-21,"Indiana","PA","Northeast","Unknown","Other","Spring","1"
"350",2002-07-26,"Charlotte","NC","South","Unknown","Middle","Summer","1"
"351",2002-10-04,"San Antonio","TX","South","Latino/Hispanic","Middle","Autumn","0"
"352",2002-10-07,"Bowie","MD","South","Unknown","Middle","Autumn","1"
"353",2002-10-28,"Tucson ","AZ","West","Latino/Hispanic","College","Autumn","1"
"354",2002-10-29,"Jersey City","NJ","Northeast","Unknown","High","Autumn","1"
"355",2002-10-31,"Tulsa ","OK","South","Unknown","High","Autumn","1"
"356",2002-11-07,"Liberty","MO","Midwest","Asian","Elementary","Autumn","1"
"357",2002-11-14,"Carson","CA","West","Unknown","Elementary","Autumn","1"
"358",2002-11-22,"Dallas ","TX","South","Unknown","High","Autumn","1"
"359",2002-12-02,"Detroit","MI","Midwest","Unknown","High","Autumn","1"
"360",2002-12-12,"Stevenson","WA","West","Unknown","Middle","Autumn","1"
"361",2002-12-16,"Chicago","IL","Midwest","Unknown","High","Autumn","1"
"362",2003-01-22,"Providence","RI","Northeast","Unknown","High","Winter","1"
"363",2003-02-05,"Westminster","CO","West","Unknown","High","Winter","1"
"364",2003-03-17,"Guttenburg","IA","Midwest","Unknown","High","Winter","1"
"365",2003-03-21,"Meridan ","MS","South","Unknown","Middle","Winter","1"
"366",2003-03-30,"Watsonville","CA","West","Unknown","Middle","Spring","1"
"367",2003-04-01,"Washington D.C.","Wash D.C","South","Unknown","High","Spring","1"
"368",2003-04-07,"Natchitoches","LA","South","African American","Other","Spring","1"
"369",2003-04-10,"Walnut","CA","West","Unknown","High","Spring","1"
"370",2003-04-14,"New Orleans","LA","South","African American","High","Spring","1"
