"","Date1","City","State","Region","Race2","ST","timeSeas","Male"
"1",1991-01-04,"Jacksonville","FL","South","Unknown","Middle","Winter","1"
"2",1991-01-05,"Bourne (Route 25)","MA","Northeast","Caucasian","High","Winter","1"
"3",1991-01-08,"Richardson","TX","South","Caucasian","High","Winter","1"
"4",1991-01-10,"Los Angeles","CA","West","Unknown","High","Winter",NA
"5",1991-01-17,"Dallas ","TX","South","Unknown","Middle","Winter",NA
"6",1991-01-19,"New Orleans","LA","South","African American","High","Winter","1"
"7",1991-02-06,"Donna","TX","South","Unknown","High","Winter","1"
"8",1991-03-09,"Jacksonville","FL","South","Unknown","High","Winter","1"
"9",1991-03-14,"Piedmont","SC","South","Unknown","High","Winter","1"
"10",1991-03-25,"Charlotte","NC","South","Unknown","High","Spring","1"
"11",1991-04-11,"Rock Hill","SC","South","Unknown","High","Spring","1"
"12",1991-04-16,"New York City","NY","Northeast","Unknown","High","Spring","1"
"13",1991-04-23,"Compton","CA","West","Unknown","Middle","Spring",NA
"14",1991-05-09,"Columbus","OH","Midwest","Unknown","Middle","Spring","1"
"15",1991-05-16,"Kansas City","KS","Midwest","Unknown","Middle","Spring","1"
"16",1991-05-20,"Pahokee","FL","South","African American","Mixed","Spring","1"
"17",1991-05-21,"Sherman Oaks","CA","West","Unknown","Middle","Spring","1"
"18",1991-07-22,"Los Angeles","CA","West","Unknown","High","Spring","1"
"19",1991-07-30,"Compton","CA","West","Unknown","Middle","Summer","1"
"21",1991-09-13,"Houston","TX","South","Unknown","High","Autumn",NA
"22",1991-09-17,"Chicago","IL","Midwest","Unknown","High","Autumn","1"
"23",1991-09-18,"Crosby","TX","South","Unknown","High","Autumn","0"
"24",1991-09-22,"Carle Place","NY","Northeast","Latino/Hispanic","Mixed","Autumn","1"
"25",1991-10-02,"Houston","TX","South","Unknown","High","Autumn","1"
"26",1991-10-04,"Los Angeles","CA","West","Unknown","High","Autumn",NA
"27",1991-10-04,"Los Angeles","CA","West","Unknown","High","Autumn",NA
"28",1991-10-08,"New York City","NY","Northeast","Unknown","High","Autumn","1"
"29",1991-10-15,"Pasadena","TX","South","Unknown","Elementary","Autumn","1"
"30",1991-10-15,"Woodruff","SC","South","Unknown","High","Autumn","1"
"31",1991-10-23,"Dallas ","TX","South","Unknown","High","Autumn","1"
"32",1991-10-30,"Longview","TX","South","Unknown","High","Autumn","1"
"33",1991-11-01,"Iowa City","IA","Midwest","Asian","College","Autumn","1"
"34",1991-11-05,"Port Huron","MI","Midwest","Unknown","Middle","Autumn","1"
"35",1991-11-06,"New Orleans","LA","South","Unknown","High","Autumn","1"
"36",1991-11-14,"Houston","TX","South","Unknown","High","Autumn","1"
"37",1991-11-25,"New York City","NY","Northeast","African American","High","Autumn","1"
"38",1991-11-26,"Whiteville","NC","South","Unknown","High","Autumn","1"
"39",1992-01-31,"Gentilly","LA","South","Unknown","Middle","Winter","1"
"40",1992-02-07,"Norkolk","VA","South","Unknown","High",NA,NA
"41",1992-02-26,"New York City","NY","Northeast","African American","High","Winter","1"
"42",1992-03-05,"Obetz","OH","Midwest","Unknown","Middle","Winter","1"
"43",1992-03-10,"Chicago","IL","Midwest","Unknown","Elementary","Winter","1"
"44",1992-03-24,"Los Angeles","CA","West","Unknown","High","Spring","1"
"45",1992-03-26,"New Orleans","LA","South","Unknown","High","Spring",NA
"46",1992-03-31,"Algiers","LA","South","Unknown","High","Spring","1"
"48",1992-04-16,"Santa Ana","CA","West","Latino/Hispanic","High","Spring","1"
"49",1992-04-17,"Dallas ","TX","South","Caucasian","High","Spring","1"
"50",1992-05-01,"Olivehurst","CA","West","Caucasian","High","Spring","1"
"51",1992-05-14,"Napa","CA","West","Unknown","Middle","Spring","1"
"52",1992-05-14,"Huntsville ","TX","South","Unknown","Middle","Spring","1"
"53",1992-05-29,"Chicago","IL","Midwest","Unknown","Elementary","Spring","1"
"54",1992-05-29,"Los Angeles","CA","West","Unknown","High","Spring","1"
"55",1992-06-06,"Merced","CA","West","Unknown","High","Spring","1"
"56",1992-09-11,"Amarillo","TX","South","Unknown","High","Autumn","1"
"57",1992-09-18,"Houston","TX","South","African American","Elementary","Autumn","1"
"58",1992-09-28,"Sacramento","CA","West","Asian","High","Autumn","1"
"59",1992-09-30,"Houston","TX","South","Unknown","Elementary","Autumn","1"
"60",1992-10-13,"Tucson ","AZ","West","Latino/Hispanic","High","Autumn","1"
"61",1992-11-04,"Detroit","MI","Midwest","Unknown","High","Autumn","1"
"62",1992-11-04,"Detroit","MI","Midwest","Unknown","High","Autumn","1"
"63",1992-11-06,"Chesapeake","VA","South","Unknown","High","Autumn",NA
"64",1992-11-10,"Chicago","IL","Midwest","African American","Mixed","Autumn","1"
"65",1992-11-13,"Cypress","TX","South","Unknown","High","Autumn","1"
"66",1992-11-16,"Birmingham","AL","South","Unknown","High","Autumn","1"
"67",1992-11-20,"Chicago","IL","Midwest","Caucasian","High","Autumn","1"
"68",1992-11-23,"Buffalo","NY","Northeast","Unknown","High","Autumn","1"
"69",1992-11-24,"Montgomery","AL","South","Unknown","High","Autumn","0"
"70",1992-12-03,"Chicago","IL","Midwest","Unknown","High","Autumn","1"
"71",1992-12-14,"Walton ","NY","Northeast","Caucasian","High","Autumn","1"
"72",1992-12-14,"Great Barrington","MA","Northeast","Asian","College","Autumn","1"
"73",1993-01-05,"Brentwood","NY","Northeast","Unknown","High","Winter","1"
"74",1993-01-12,"Miami","FL","South","Unknown","High","Winter","1"
"75",1993-01-18,"Grayson","KY","South","Caucasian","High","Winter","1"
"76",1993-01-21,"Los Angeles","CA","West","Unknown","High","Winter","1"
"77",1993-02-01,"Redmond","WA","West","Unknown","Middle","Winter","1"
"78",1993-02-02,"Palmdale","CA","West","Unknown","Middle",NA,NA
"79",1993-02-02,"Amityville ","NY","Northeast","Unknown","High","Winter","1"
"80",1993-02-04,"College Park","GA","South","Unknown","High","Winter","1"
"81",1993-02-08,"Washington D.C.","Wash D.C","South","Unknown","High","Winter","1"
"82",1993-02-08,"Gary","IN","Midwest","Unknown","High","Winter","1"
"83",1993-02-08,"Middle River ","MN","Midwest","Unknown","Middle","Winter","1"
"84",1993-02-18,"Dallas ","TX","South","Unknown","High",NA,"1"
"85",1993-02-22,"Los Angeles","CA","West","Unknown","High","Winter","1"
"86",1993-02-26,"Gloucester","MA","Northeast","Unknown","High","Winter","1"
"87",1993-03-18,"Harlem ","GA","South","Unknown","High","Winter","1"
"88",1993-03-25,"St.Louis","MO","Midwest","Unknown","High","Spring","0"
